"ID","CD_MES","NM_MES","AR_MUN_2018"
"1","1101","Madeira-Guaporé","106462.473"
"2","1102","Leste Rondoniense","131302.76"
"3","1201","Vale do Juruá","85448.512"
"4","1202","Vale do Acre","78675.226"
"5","1301","Norte Amazonense","404877.209"
"6","1302","Sudoeste Amazonense","325882.22"
"7","1303","Centro Amazonense","356911.41"
"8","1304","Sul Amazonense","471497.278"
"9","1401","Norte de Roraima","98733.944"
"10","1402","Sul de Roraima","125539.887"
"11","1501","Baixo Amazonas","340450.034"
"12","1502","Marajó","102809.691"
"13","1503","Metropolitana de Belém","6891.932"
"14","1504","Nordeste Paraense","82449.382"
"15","1505","Sudoeste Paraense","415792.546"
"16","1506","Sudeste Paraense","297365.72"
"17","1601","Norte do Amapá","57239.752"
"18","1602","Sul do Amapá","85231.01"
"19","1701","Ocidental do Tocantins","155834.496"
"20","1702","Oriental do Tocantins","121885.908"
"21","2101","Norte Maranhense","49947.617"
"22","2102","Oeste Maranhense","86927.944"
"23","2103","Centro Maranhense","54372.792"
"24","2104","Leste Maranhense","70694.361"
"25","2105","Sul Maranhense","67699.456"
"26","2201","Norte Piauiense","22189.506"
"27","2202","Centro-Norte Piauiense","55256.292"
"28","2203","Sudoeste Piauiense","127999.747"
"29","2204","Sudeste Piauiense","46171.278"
"30","2301","Noroeste Cearense","34535.753"
"31","2302","Norte Cearense","21063.736"
"32","2303","Metropolitana de Fortaleza","3764.016"
"33","2304","Sertões Cearenses","46250.893"
"34","2305","Jaguaribe","18442.706"
"35","2306","Centro-Sul Cearense","9945.524"
"36","2307","Sul Cearense","14892.129"
"37","2401","Oeste Potiguar","21179.573"
"38","2402","Central Potiguar","15831.629"
"39","2403","Agreste Potiguar","9348.58"
"40","2404","Leste Potiguar","6449.82"
"41","2501","Sertão Paraibano","22743.599"
"42","2502","Borborema","15561.666"
"43","2503","Agreste Paraibano","12931.185"
"44","2504","Mata Paraibana","5230.789"
"45","2601","Sertão Pernambucano","37870.679"
"46","2602","São Francisco Pernambucano","24483.102"
"47","2603","Agreste Pernambucano","24532.542"
"48","2604","Mata Pernambucana","8401.436"
"49","2605","Metropolitana de Recife","2780.262"
"50","2701","Sertão Alagoano","8841.609"
"51","2702","Agreste Alagoano","5768.339"
"52","2703","Leste Alagoano","13233.347"
"53","2801","Sertão Sergipano","7313.685"
"54","2802","Agreste Sergipano","5904.329"
"55","2803","Leste Sergipano","8708.894"
"56","2901","Extremo Oeste Baiano","117438.037"
"57","2902","Vale São-Franciscano da Bahia","114168.094"
"58","2903","Centro Norte Baiano","82864.778"
"59","2904","Nordeste Baiano","56099.539"
"60","2905","Metropolitana de Salvador","11322.009"
"61","2906","Centro Sul Baiano","128144.234"
"62","2907","Sul Baiano","54685.92"
"63","3101","Noroeste de Minas","62413.18"
"64","3102","Norte de Minas","128389.905"
"65","3103","Jequitinhonha","50147.593"
"66","3104","Vale do Mucuri","20093.138"
"67","3105","Triângulo Mineiro/Alto Paranaíba","90541.714"
"68","3106","Central Mineira","31746.548"
"69","3107","Metropolitana de Belo Horizonte","39573.013"
"70","3108","Vale do Rio Doce","41713.619"
"71","3109","Oeste de Minas","24038.205"
"72","3110","Sul/Sudoeste de Minas","49575.99"
"73","3111","Campo das Vertentes","12580.49"
"74","3112","Zona da Mata","35707.726"
"75","3201","Noroeste Espírito-santense","12045.215"
"76","3202","Litoral Norte Espírito-santense","14513.022"
"77","3203","Central Espírito-santense","10677.27"
"78","3204","Sul Espírito-santense","8838.937"
"79","3301","Noroeste Fluminense","5371.745"
"80","3302","Norte Fluminense","9741.89"
"81","3303","Centro Fluminense","6806.715"
"82","3304","Baixadas","3639.12"
"83","3305","Sul Fluminense","7926.299"
"84","3306","Metropolitana do Rio de Janeiro","10264.654"
"85","3501","São José do Rio Preto","29393.752"
"86","3502","Ribeirão Preto","27539.756"
"87","3503","Araçatuba","16761.385"
"88","3504","Bauru","26702.624"
"89","3505","Araraquara","9450.564"
"90","3506","Piracicaba","9047.744"
"91","3507","Campinas","14231.995"
"92","3508","Presidente Prudente","24039.117"
"93","3509","Marília","7169.787"
"94","3510","Assis","12705.967"
"95","3511","Itapetininga","20183.251"
"96","3512","Macro Metropolitana Paulista","12303.948"
"97","3513","Vale do Paraíba Paulista","16177.913"
"98","3514","Litoral Sul Paulista","13207.117"
"99","3515","Metropolitana de São Paulo","9304.561"
"100","4101","Noroeste Paranaense","24488.726"
"101","4102","Centro Ocidental Paranaense","11935.285"
"102","4103","Norte Central Paranaense","24555.758"
"103","4104","Norte Pioneiro Paranaense","15726.685"
"104","4105","Centro Oriental Paranaense","21853.53"
"105","4106","Oeste Paranaense","22850.995"
"106","4107","Sudoeste Paranaense","11650.722"
"107","4108","Centro-Sul Paranaense","26463.232"
"108","4109","Sudeste Paranaense","16960.665"
"109","4110","Metropolitana de Curitiba","22819.638"
"110","4201","Oeste Catarinense","27315.331"
"111","4202","Norte Catarinense","15928.526"
"112","4203","Serrana","22323.845"
"113","4204","Vale do Itajaí","13089.966"
"114","4205","Grande Florianópolis","7361.506"
"115","4206","Sul Catarinense","9711.747"
"116","4301","Noroeste Rio-grandense","64948.788"
"117","4302","Nordeste Rio-grandense","25831.125"
"118","4303","Centro Ocidental Rio-grandense","25943.857"
"119","4304","Centro Oriental Rio-grandense","17197.125"
"120","4305","Metropolitana de Porto Alegre","29822.136"
"121","4306","Sudoeste Rio-grandense","62663.369"
"122","4307","Sudeste Rio-grandense","42282.858"
"123","4377","Lagoa Mirim","2859.139"
"124","4388","Lagoa dos Patos","10158.754"
"125","5001","Pantanais Sul Mato-grossense","110782.068"
"126","5002","Centro Norte de Mato Grosso do Sul","69922.659"
"127","5003","Leste de Mato Grosso do Sul","94012.675"
"128","5004","Sudoeste de Mato Grosso do Sul","82428.133"
"129","5101","Norte Mato-grossense","484027.659"
"130","5102","Nordeste Mato-grossense","177340.046"
"131","5103","Sudoeste Mato-grossense","72524.378"
"132","5104","Centro-Sul Mato-grossense","95152.602"
"133","5105","Sudeste Mato-grossense","74162.312"
"134","5201","Noroeste Goiano","55666.893"
"135","5202","Norte Goiano","56509.664"
"136","5203","Centro Goiano","40821.761"
"137","5204","Leste Goiano","55538.631"
"138","5205","Sul Goiano","131588.766"
"139","5301","Distrito Federal","5760.783"
"OBS: as áreas das estruturas territoriais Lagoa Mirim, CD_GCMUN 4300001, e Lagoa dos Patos, CD_GCMUN 4300002, que foram incorporadas à área do Estado do Rio Grande do Sul segundo a Constituição Estadual de 1988, também foram incorporadas a lista de Meso Regiões acima, sob os codigos de CD_MIC 4377 e CD_MIC 4388, respectivamente visando a compatibilização no somatório de áreas total do Brasil.","","",""
